molecule_chembl_id,canonical_smiles,standard_value
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,10000.0
CHEMBL4528881,CC1(N)CCC(Nc2ccn3ncnc(Nc4cc(O)cc(Br)c4)c23)CC1,120.0
CHEMBL278041,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,47200.0
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,10000.0
CHEMBL5193906,CC1(N)CCN(Cc2ccn3ncnc(Nc4cc(O)cc(Br)c4)c23)CC1,120.0
CHEMBL5182036,CC[C@@](C)(O)C#Cc1cc2c(ccn2-c2cc(OC)nc(N)n2)cn1,1.6
CHEMBL5183323,Oc1cccc(Nc2ncnc3[nH]ncc23)c1,9150.0
CHEMBL5204443,Oc1cccc(Nc2ncnc3[nH]ccc23)c1,6100.0
CHEMBL5186693,Oc1ccc(Nc2ncnc3[nH]ccc23)cc1,3000.0
CHEMBL5198629,c1nc(Nc2ccc(N3CCOCC3)cc2)c2cc[nH]c2n1,4900.0
CHEMBL5186860,Clc1ccc(Nc2ncnc3[nH]ccc23)cc1,3200.0
CHEMBL5201662,Clc1ccc(CCNc2ncnc3[nH]ccc23)cc1,18200.0
CHEMBL5177393,Oc1ccc(CCNc2ncnc3[nH]ccc23)cc1,12800.0
CHEMBL5186604,Clc1cccc(Nc2ncnc3[nH]ccc23)c1,15200.0
CHEMBL5209148,Clc1ccccc1Nc1ncnc2[nH]ccc12,21800.0
CHEMBL5182006,c1cc(Nc2ncnc3[nH]ccc23)c2c(c1)OCO2,1580.0
CHEMBL5209114,CC(=O)c1ccc(Nc2ncnc3[nH]ccc23)cc1,4300.0
CHEMBL5171736,c1cc(Nc2ncnc3[nH]ccc23)cc(N2CCOCC2)c1,4700.0
CHEMBL5207783,c1ccc(Nc2ncnc3[nH]ccc23)cc1,790.0
CHEMBL5185704,COc1ccc(Nc2ncnc3[nH]ccc23)cc1,520.0
CHEMBL1257781,FC(F)(F)Oc1ccc(Nc2ncnc3[nH]ccc23)cc1,1000.0
CHEMBL5202436,CC(C)Oc1ccc(Nc2ncnc3[nH]ccc23)cc1,1500.0
CHEMBL5208571,CCOc1ccc(Nc2ncnc3[nH]ccc23)cc1,2300.0
CHEMBL5198544,c1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,390.0
CHEMBL5204869,Clc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,240.0
CHEMBL5208565,Fc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,770.0
CHEMBL5187459,N#Cc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,440.0
CHEMBL5193488,COc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,340.0
CHEMBL5177584,FC(F)(F)c1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,5030.0
CHEMBL5197789,Brc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,750.0
CHEMBL5209196,O=[N+]([O-])c1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,420.0
CHEMBL5171328,Nc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,520.0
CHEMBL5179559,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,1020.0
CHEMBL5207918,Cc1cccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)c1,2200.0
CHEMBL5192144,Clc1cccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)c1,1550.0
CHEMBL5182026,FC(F)(F)c1cccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)c1,5610.0
CHEMBL5196033,COc1cccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)c1,840.0
CHEMBL5200069,Clc1ccccc1Oc1ccc(Nc2ncnc3[nH]ccc23)cc1,330.0
CHEMBL5193008,COc1ccccc1Oc1ccc(Nc2ncnc3[nH]ccc23)cc1,3560.0
CHEMBL5169390,Clc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1Cl,2300.0
CHEMBL5187125,Nc1nc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)c2cc[nH]c2n1,450.0
CHEMBL5180098,Nc1nc(Nc2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)c2cc[nH]c2n1,380.0
CHEMBL5184336,Nc1nc(Nc2ccc(Oc3cccc(Cl)c3)cc2)c2cc[nH]c2n1,370.0
CHEMBL5178871,Nc1nc(Nc2ccc(Oc3cccc(C(F)(F)F)c3)cc2)c2cc[nH]c2n1,1320.0
CHEMBL5203204,O=[N+]([O-])c1ccc(Sc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,2720.0
CHEMBL5188513,Nc1ccc(Sc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,650.0
CHEMBL5200160,c1ccc(COc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1,750.0
CHEMBL5193908,O=C(c1ccccc1)c1ccc(Nc2ncnc3[nH]ccc23)cc1,1710.0
CHEMBL5209161,O=C(c1ccc(F)cc1)c1ccc(Nc2ncnc3[nH]ccc23)cc1,1500.0
CHEMBL5193034,Clc1ccc(Cn2cc(COc3ccc(Nc4ncnc5[nH]ccc45)cc3)nn2)cc1,610.0
CHEMBL5181249,Clc1ccccc1Cn1cc(COc2ccc(Nc3ncnc4[nH]ccc34)cc2)nn1,360.0
CHEMBL5197012,Clc1cccc(Cn2cc(COc3ccc(Nc4ncnc5[nH]ccc45)cc3)nn2)c1,480.0
CHEMBL5178965,c1ccc(CCn2cc(COc3ccc(Nc4ncnc5[nH]ccc45)cc3)nn2)cc1,390.0
CHEMBL5178462,Cc1ccc(Cn2cc(COc3ccc(Nc4ncnc5[nH]ccc45)cc3)nn2)cc1,990.0
CHEMBL4517951,COC(=O)c1cc(Nc2ncnc3[nH]ccc23)ccc1Br,2200.0
CHEMBL5206548,c1cncc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)c1,750.0
CHEMBL5278744,CC(C)(O)C#Cc1cc2c(cn1)cnn2-c1ccnc(N)n1,60.0
CHEMBL5282072,CC(C)(O)C#Cc1cc2c(ccn2-c2ccnc(N)n2)cn1,9.8
CHEMBL5272364,CC(C)(O)C#Cc1cc2c(cn1)CCN2c1ccnc(N)n1,2.8
CHEMBL5280803,COc1cc2ccn(-c3ccnc(N)n3)c2cc1C#CC(C)(C)O,39.0
